"Manufacturer","Model","Type","Price","MPG.city","MPG.highway","EngineSize","Horsepower","RPM","Rev.per.mile","Fuel.tank.capacity","Length","Wheelbase","Width","Turn.circle","Rear.seat.room","Luggage.room","Weight"
"Acura","Integra","Small",15.9,25,31,1.8,140,6300,2890,13.2,177,102,68,37,26.5,11,2705
"Acura","Legend","Midsize",33.9,18,25,3.2,200,5500,2335,18,195,115,71,38,30,15,3560
"Audi","90","Compact",29.1,20,26,2.8,172,5500,2280,16.9,180,102,67,37,28,14,3375
"Audi","100","Midsize",37.7,19,26,2.8,172,5500,2535,21.1,193,106,70,37,31,17,3405
"BMW","535i","Midsize",30,22,30,3.5,208,5700,2545,21.1,186,109,69,39,27,13,3640
"Buick","Century","Midsize",15.7,22,31,2.2,110,5200,2565,16.4,189,105,69,41,28,16,2880
"Buick","LeSabre","Large",20.8,19,28,3.8,170,4800,1570,18,200,111,74,42,30.5,17,3470
"Buick","Roadmaster","Large",23.7,16,25,5.7,180,4000,1320,23,216,116,78,45,30.5,21,4105
"Buick","Riviera","Midsize",26.3,19,27,3.8,170,4800,1690,18.8,198,108,73,41,26.5,14,3495
"Cadillac","DeVille","Large",34.7,16,25,4.9,200,4100,1510,18,206,114,73,43,35,18,3620
"Cadillac","Seville","Midsize",40.1,16,25,4.6,295,6000,1985,20,204,111,74,44,31,14,3935
"Chevrolet","Cavalier","Compact",13.4,25,36,2.2,110,5200,2380,15.2,182,101,66,38,25,13,2490
"Chevrolet","Corsica","Compact",11.4,25,34,2.2,110,5200,2665,15.6,184,103,68,39,26,14,2785
"Chevrolet","Camaro","Sporty",15.1,19,28,3.4,160,4600,1805,15.5,193,101,74,43,25,13,3240
"Chevrolet","Lumina","Midsize",15.9,21,29,2.2,110,5200,2595,16.5,198,108,71,40,28.5,16,3195
"Chevrolet","Caprice","Large",18.8,17,26,5,170,4200,1350,23,214,116,77,42,29.5,20,3910
"Chrylser","Concorde","Large",18.4,20,28,3.3,153,5300,1990,18,203,113,74,40,31,15,3515
"Chrysler","LeBaron","Compact",15.8,23,28,3,141,5000,2090,16,183,104,68,41,30.5,14,3085
"Chrysler","Imperial","Large",29.5,20,26,3.3,147,4800,1785,16,203,110,69,44,36,17,3570
"Dodge","Colt","Small",9.2,29,33,1.5,92,6000,3285,13.2,174,98,66,32,26.5,11,2270
"Dodge","Shadow","Small",11.3,23,29,2.2,93,4800,2595,14,172,97,67,38,26.5,13,2670
"Dodge","Spirit","Compact",13.3,22,27,2.5,100,4800,2535,16,181,104,68,39,30.5,14,2970
"Dodge","Dynasty","Midsize",15.6,21,27,2.5,100,4800,2465,16,192,105,69,42,30.5,16,3080
"Dodge","Stealth","Sporty",25.8,18,24,3,300,6000,2120,19.8,180,97,72,40,20,11,3805
"Eagle","Summit","Small",12.2,29,33,1.5,92,6000,2505,13.2,174,98,66,36,26.5,11,2295
"Eagle","Vision","Large",19.3,20,28,3.5,214,5800,1980,18,202,113,74,40,30,15,3490
"Ford","Festiva","Small",7.4,31,33,1.3,63,5000,3150,10,141,90,63,33,26,12,1845
"Ford","Escort","Small",10.1,23,30,1.8,127,6500,2410,13.2,171,98,67,36,28,12,2530
"Ford","Tempo","Compact",11.3,22,27,2.3,96,4200,2805,15.9,177,100,68,39,27.5,13,2690
"Ford","Mustang","Sporty",15.9,22,29,2.3,105,4600,2285,15.4,180,101,68,40,24,12,2850
"Ford","Probe","Sporty",14,24,30,2,115,5500,2340,15.5,179,103,70,38,23,18,2710
"Ford","Taurus","Midsize",20.2,21,30,3,140,4800,1885,16,192,106,71,40,27.5,18,3325
"Ford","Crown_Victoria","Large",20.9,18,26,4.6,190,4200,1415,20,212,114,78,43,30,21,3950
"Geo","Metro","Small",8.4,46,50,1,55,5700,3755,10.6,151,93,63,34,27.5,10,1695
"Geo","Storm","Sporty",12.5,30,36,1.6,90,5400,3250,12.4,164,97,67,37,24.5,11,2475
"Honda","Prelude","Sporty",19.8,24,31,2.3,160,5800,2855,15.9,175,100,70,39,23.5,8,2865
"Honda","Civic","Small",12.1,42,46,1.5,102,5900,2650,11.9,173,103,67,36,28,12,2350
"Honda","Accord","Compact",17.5,24,31,2.2,140,5600,2610,17,185,107,67,41,28,14,3040
"Hyundai","Excel","Small",8,29,33,1.5,81,5500,2710,11.9,168,94,63,35,26,11,2345
"Hyundai","Elantra","Small",10,22,29,1.8,124,6000,2745,13.7,172,98,66,36,28,12,2620
"Hyundai","Scoupe","Sporty",10,26,34,1.5,92,5550,2540,11.9,166,94,64,34,23.5,9,2285
"Hyundai","Sonata","Midsize",13.9,20,27,2,128,6000,2335,17.2,184,104,69,41,31,14,2885
"Infiniti","Q45","Midsize",47.9,17,22,4.5,278,6000,1955,22.5,200,113,72,42,29,15,4000
"Lexus","ES300","Midsize",28,18,24,3,185,5200,2325,18.5,188,103,70,40,27.5,14,3510
"Lexus","SC300","Midsize",35.2,18,23,3,225,6000,2510,20.6,191,106,71,39,25,9,3515
"Lincoln","Continental","Midsize",34.3,17,26,3.8,160,4400,1835,18.4,205,109,73,42,30,19,3695
"Lincoln","Town_Car","Large",36.1,18,26,4.6,210,4600,1840,20,219,117,77,45,31.5,22,4055
"Mazda","323","Small",8.3,29,37,1.6,82,5000,2370,13.2,164,97,66,34,27,16,2325
"Mazda","Protege","Small",11.6,28,36,1.8,103,5500,2220,14.5,172,98,66,36,26.5,13,2440
"Mazda","626","Compact",16.5,26,34,2.5,164,5600,2505,15.5,184,103,69,40,29.5,14,2970
"Mercedes-Benz","190E","Compact",31.9,20,29,2.3,130,5100,2425,14.5,175,105,67,34,26,12,2920
"Mercedes-Benz","300E","Midsize",61.9,19,25,3.2,217,5500,2220,18.5,187,110,69,37,27,15,3525
"Mercury","Capri","Sporty",14.1,23,26,1.6,100,5750,2475,11.1,166,95,65,36,19,6,2450
"Mercury","Cougar","Midsize",14.9,19,26,3.8,140,3800,1730,18,199,113,73,38,28,15,3610
"Mitsubishi","Mirage","Small",10.3,29,33,1.5,92,6000,2505,13.2,172,98,67,36,26,11,2295
"Mitsubishi","Diamante","Midsize",26.1,18,24,3,202,6000,2210,19,190,107,70,43,27.5,14,3730
"Nissan","Sentra","Small",11.8,29,33,1.6,110,6000,2435,13.2,170,96,66,33,26,12,2545
"Nissan","Altima","Compact",15.7,24,30,2.4,150,5600,2130,15.9,181,103,67,40,28.5,14,3050
"Nissan","Maxima","Midsize",21.5,21,26,3,160,5200,2045,18.5,188,104,69,41,28.5,14,3200
"Oldsmobile","Achieva","Compact",13.5,24,31,2.3,155,6000,2380,15.2,188,103,67,39,28,14,2910
"Oldsmobile","Cutlass_Ciera","Midsize",16.3,23,31,2.2,110,5200,2565,16.5,190,105,70,42,28,16,2890
"Oldsmobile","Eighty-Eight","Large",20.7,19,28,3.8,170,4800,1570,18,201,111,74,42,31.5,17,3470
"Plymouth","Laser","Sporty",14.4,23,30,1.8,92,5000,2360,15.9,173,97,67,39,24.5,8,2640
"Pontiac","LeMans","Small",9,31,41,1.6,74,5600,3130,13.2,177,99,66,35,25.5,17,2350
"Pontiac","Sunbird","Compact",11.1,23,31,2,110,5200,2665,15.2,181,101,66,39,25,13,2575
"Pontiac","Firebird","Sporty",17.7,19,28,3.4,160,4600,1805,15.5,196,101,75,43,25,13,3240
"Pontiac","Grand_Prix","Midsize",18.5,19,27,3.4,200,5000,1890,16.5,195,108,72,41,28.5,16,3450
"Pontiac","Bonneville","Large",24.4,19,28,3.8,170,4800,1565,18,177,111,74,43,30.5,18,3495
"Saab","900","Compact",28.7,20,26,2.1,140,6000,2910,18,184,99,67,37,26.5,14,2775
"Saturn","SL","Small",11.1,28,38,1.9,85,5000,2145,12.8,176,102,68,40,26.5,12,2495
"Subaru","Justy","Small",8.4,33,37,1.2,73,5600,2875,9.2,146,90,60,32,23.5,10,2045
"Subaru","Loyale","Small",10.9,25,30,1.8,90,5200,3375,15.9,175,97,65,35,27.5,15,2490
"Subaru","Legacy","Compact",19.5,23,30,2.2,130,5600,2330,15.9,179,102,67,37,27,14,3085
"Suzuki","Swift","Small",8.6,39,43,1.3,70,6000,3360,10.6,161,93,63,34,27.5,10,1965
"Toyota","Tercel","Small",9.8,32,37,1.5,82,5200,3505,11.9,162,94,65,36,24,11,2055
"Toyota","Celica","Sporty",18.4,25,32,2.2,135,5400,2405,15.9,174,99,69,39,23,13,2950
"Toyota","Camry","Midsize",18.2,22,29,2.2,130,5400,2340,18.5,188,103,70,38,28.5,15,3030
"Volkswagen","Fox","Small",9.1,25,33,1.8,81,5500,2550,12.4,163,93,63,34,26,10,2240
"Volkswagen","Passat","Compact",20,21,30,2,134,5800,2685,18.5,180,103,67,35,31.5,14,2985
"Volkswagen","Corrado","Sporty",23.3,18,25,2.8,178,5800,2385,18.5,159,97,66,36,26,15,2810
"Volvo","240","Compact",22.7,21,28,2.3,114,5400,2215,15.8,190,104,67,37,29.5,14,2985
"Volvo","850","Midsize",26.7,20,28,2.4,168,6200,2310,19.3,184,105,69,38,30,15,3245
